Fecha_Partido,Partido,Jugador,Equipo,Stat,Linea,Over,Under
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS,10.5,1.36,2.58
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS,11.5,1.49,2.21
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS,12.5,1.59,2.01
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS,14.5,1.96,1.63
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS,15.5,2.12,1.53
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS,16.5,2.4,1.41
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS,17.5,2.74,1.32
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS,13.5,1.82,1.85
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,ASSISTS,5.5,2.1,1.54
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,ASSISTS,4.5,1.61,2.14
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,ASSISTS,6.5,2.78,1.31
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,TURNOVERS,2.5,1.64,2.08
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,THREESMADE,2.5,1.89,1.78
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,THREESMADE,3.5,2.79,1.3
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,FIRST QUARTER POINTS,3.5,2.09,1.55
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,FIRST QUARTER POINTS,2.5,1.57,2.2
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,FIRST QUARTER ASSISTS,1.5,2.33,1.51
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,FT MADE,1.5,1.68,2.02
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,FG MADE,4.5,1.8,1.87
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,FG ATTEMPTED,13.5,1.99,1.61
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,FG ATTEMPTED,12.5,1.71,1.99
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,THREE ATTEMPTED,8.5,1.94,1.74
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,REBOUNDS,4.5,2.09,1.55
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,REBOUNDS,3.5,1.62,2.11
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS,17.5,1.57,2.05
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS,20.5,2.1,1.54
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS,19.5,1.89,1.68
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS,18.5,1.76,1.92
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+REBOUNDS,16.5,1.59,2.02
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+REBOUNDS,18.5,1.91,1.66
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+REBOUNDS,19.5,2.04,1.57
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+REBOUNDS,17.5,1.78,1.89
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,ASSISTS+REBOUNDS,9.5,2.06,1.65
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,ASSISTS+REBOUNDS,8.5,1.61,1.98
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS+REBOUNDS,21.5,1.57,2.05
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS+REBOUNDS,18.5,1.31,2.78
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS+REBOUNDS,19.5,1.39,2.45
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS+REBOUNDS,20.5,1.49,2.21
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS+REBOUNDS,22.5,1.7,1.87
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS+REBOUNDS,24.5,2.03,1.58
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS+REBOUNDS,25.5,2.17,1.51
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS+REBOUNDS,26.5,2.43,1.4
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS+REBOUNDS,23.5,1.93,1.75
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,POINTS+ASSISTS+REBOUNDS,27.5,2.76,1.31
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,PERSONAL FOULS,3.5,1.91,1.77
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,STEALS,1.5,1.67,2.03
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,BLOCKS,0.5,1.58,2.18
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,STEALS+BLOCKS,2.5,1.78,1.89
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Jalen Suggs,Orlando Magic,FIRST SCORER,0.5,8.24,1.03
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Paolo Banchero,Orlando Magic,POINTS,19.5,1.31,2.77
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Paolo Banchero,Orlando Magic,POINTS,20.5,1.39,2.47
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Paolo Banchero,Orlando Magic,POINTS,22.5,1.56,2.07
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Paolo Banchero,Orlando Magic,POINTS,25.5,2.04,1.57
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Paolo Banchero,Orlando Magic,POINTS,26.5,2.18,1.5
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Paolo Banchero,Orlando Magic,POINTS,27.5,2.44,1.4
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Paolo Banchero,Orlando Magic,POINTS,28.5,2.75,1.31
2026-05-01 23:00,Orlando Magic - Detroit Pistons,Paolo Banchero,Orlando Magic,POINTS,24.5,1.93,1.75
