game_id,team_id,team_abbreviation,team_name,season,season_type,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,turnovers,pf,pts,plus_minus,updated_at
1022400001,1611661322,WAS,Mystics,2024,Regular Season,,200:00,31,78,0.397,10,32,0.313,8,11,0.727,10,24,34,22,9,7,12,20,80,-5.0,2026-05-21T18:53:57.567413
1022400001,1611661313,NYL,Liberty,2024,Regular Season,,200:00,32,68,0.471,8,28,0.286,13,15,0.867,8,28,36,21,8,5,18,20,85,5.0,2026-05-21T18:53:57.567413
1022400003,1611661317,PHO,Mercury,2024,Regular Season,,200:00,29,76,0.382,15,36,0.417,7,10,0.7,10,27,37,21,6,6,15,23,80,-9.0,2026-05-21T18:53:57.567413
1022400003,1611661319,LVA,Aces,2024,Regular Season,,200:00,29,71,0.408,6,29,0.207,25,29,0.862,8,29,37,17,7,5,9,12,89,9.0,2026-05-21T18:53:57.567413
1022400002,1611661325,IND,Fever,2024,Regular Season,,200:00,24,50,0.48,8,20,0.4,15,19,0.789,4,24,28,16,6,5,25,21,71,-21.0,2026-05-21T18:53:57.567413
1022400002,1611661323,CON,Sun,2024,Regular Season,,200:00,32,66,0.485,9,21,0.429,19,25,0.76,8,22,30,20,11,1,15,22,92,21.0,2026-05-21T18:53:57.567413
1022400004,1611661328,SEA,Storm,2024,Regular Season,,200:00,29,78,0.372,1,9,0.111,11,14,0.786,14,29,43,14,10,5,17,12,70,-13.0,2026-05-21T18:53:57.567413
1022400004,1611661324,MIN,Lynx,2024,Regular Season,,200:00,34,75,0.453,7,24,0.292,8,9,0.889,7,32,39,23,15,8,17,15,83,13.0,2026-05-21T18:53:57.567413
1022400006,1611661320,LAS,Sparks,2024,Regular Season,,200:00,28,72,0.389,12,31,0.387,13,22,0.591,8,27,35,24,8,2,11,17,81,-11.0,2026-05-21T18:53:57.567413
1022400006,1611661330,ATL,Dream,2024,Regular Season,,200:00,34,67,0.507,8,17,0.471,16,19,0.842,7,27,34,20,8,9,13,20,92,11.0,2026-05-21T18:53:57.567413
1022400005,1611661321,DAL,Wings,2024,Regular Season,,200:00,37,82,0.451,5,15,0.333,8,10,0.8,15,27,42,18,7,12,15,20,87,8.0,2026-05-21T18:53:57.567413
