team_id,team_name,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,turnovers,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,season,season_type,updated_at
1611661330,Atlanta Dream,40,15,25,0.375,40.4,27.8,68.1,0.408,6.0,19.4,0.308,15.4,20.0,0.772,9.2,26.9,36.1,18.4,13.8,7.2,3.7,4.1,16.9,17.6,77.0,-2.8,1,8,8,8,1,12,7,12,10,9,11,2,2,8,3,3,3,12,4,7,9,7,6,4,12,7,2024,Regular Season,2026-05-24T14:25:54.223841
1611661329,Chicago Sky,40,13,27,0.325,40.0,29.7,70.3,0.422,4.8,14.9,0.323,13.2,17.8,0.742,10.9,25.8,36.6,19.0,14.3,7.0,3.8,5.8,19.0,17.0,77.4,-5.1,1,10,10,10,11,7,3,11,12,12,9,10,8,12,1,7,1,11,8,10,8,12,12,8,11,10,2024,Regular Season,2026-05-24T14:25:54.223841
1611661323,Connecticut Sun,40,28,12,0.7,40.3,29.3,65.9,0.444,5.9,18.0,0.327,15.7,20.9,0.753,8.4,25.1,33.5,19.9,13.3,8.2,3.7,4.6,16.1,18.1,80.1,6.5,1,3,3,3,4,8,12,6,11,11,6,1,1,11,6,10,9,8,3,3,10,9,2,2,8,2,2024,Regular Season,2026-05-24T14:25:54.223841
1611661321,Dallas Wings,40,9,31,0.225,40.4,31.7,71.0,0.446,6.3,19.2,0.326,14.7,18.7,0.786,10.5,24.3,34.8,20.4,15.7,7.1,4.0,4.6,18.5,17.5,84.2,-7.9,1,11,11,11,1,1,2,5,8,10,8,7,4,6,2,12,5,6,10,8,7,8,11,5,4,12,2024,Regular Season,2026-05-24T14:25:54.223841
1611661325,Indiana Fever,40,20,20,0.5,40.1,31.3,68.5,0.456,9.2,25.9,0.356,13.3,17.1,0.775,8.3,26.8,35.1,20.4,15.3,5.9,4.3,3.8,18.2,17.2,85.0,-2.7,1,6,6,6,8,2,5,1,5,5,3,9,10,7,7,5,4,7,9,12,5,6,9,7,3,6,2024,Regular Season,2026-05-24T14:25:54.223841
1611661319,Las Vegas Aces,40,27,13,0.675,40.1,30.9,68.1,0.454,9.4,26.5,0.355,15.2,18.3,0.828,5.6,28.5,34.1,20.5,11.7,7.1,5.0,3.6,16.5,17.2,86.4,5.5,1,4,4,4,8,4,6,2,4,3,4,3,6,2,12,1,8,5,1,9,2,4,5,6,1,4,2024,Regular Season,2026-05-24T14:25:54.223841
1611661320,Los Angeles Sparks,40,8,32,0.2,40.1,28.1,66.4,0.423,7.2,22.6,0.32,15.0,19.6,0.765,7.4,25.3,32.7,19.7,16.0,7.3,3.2,5.1,17.9,18.0,78.4,-7.2,1,12,12,12,8,11,10,10,7,7,10,5,3,10,9,9,10,10,11,5,12,11,8,3,10,11,2024,Regular Season,2026-05-24T14:25:54.223841
1611661324,Minnesota Lynx,40,30,10,0.75,40.4,30.1,67.3,0.448,9.5,25.0,0.38,12.2,15.5,0.79,7.4,26.8,34.3,23.0,14.3,8.6,4.2,3.7,16.4,15.7,82.0,6.4,1,2,2,2,1,6,8,4,3,6,1,11,11,5,8,4,7,1,7,2,6,5,3,12,6,3,2024,Regular Season,2026-05-24T14:25:54.223841
1611661313,New York Liberty,40,32,8,0.8,40.0,30.8,68.7,0.448,10.1,29.0,0.349,14.0,17.2,0.814,8.5,28.1,36.6,22.8,13.8,7.9,4.5,3.2,15.4,16.9,85.6,9.2,1,1,1,1,11,5,4,3,1,1,5,8,9,3,5,2,2,2,5,4,4,1,1,10,2,1,2024,Regular Season,2026-05-24T14:25:54.223841
1611661317,Phoenix Mercury,40,19,21,0.475,40.3,29.1,66.3,0.439,8.5,26.1,0.326,14.7,18.4,0.799,6.7,25.6,32.3,19.9,14.1,6.6,4.7,3.3,16.9,17.0,81.5,-3.3,1,7,7,7,4,9,11,7,6,4,7,6,5,4,11,8,11,9,6,11,3,2,7,9,7,9,2024,Regular Season,2026-05-24T14:25:54.223841
