partido,jugador,mercado,linea,handicap,cuota
Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,Puntos (hitos),25+,0.0,1.5
Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,Puntos (hitos),26+,0.0,1.65
Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,Puntos (hitos),27+,0.0,1.8
Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,Puntos (hitos),28+,0.0,2.0
Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,Puntos (hitos),29+,0.0,2.22
Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,Puntos (hitos),30+,0.0,2.5
Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,Puntos (hitos),31+,0.0,2.82
Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,Puntos (hitos),32+,0.0,3.2
Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,Puntos (hitos),33+,0.0,3.7
Cleveland Cavaliers Detroit Pistons,Cade Cunningham,Puntos (hitos),25+,0.0,1.52
Cleveland Cavaliers Detroit Pistons,Cade Cunningham,Puntos (hitos),27+,0.0,1.82
Cleveland Cavaliers Detroit Pistons,Cade Cunningham,Puntos (hitos),29+,0.0,2.22
Cleveland Cavaliers Detroit Pistons,Cade Cunningham,Puntos (hitos),31+,0.0,2.85
Cleveland Cavaliers Detroit Pistons,Cade Cunningham,Puntos (hitos),33+,0.0,3.75
Cleveland Cavaliers Detroit Pistons,Cade Cunningham,Puntos (hitos),35+,0.0,5.0
Cleveland Cavaliers Detroit Pistons,Cade Cunningham,Puntos (hitos),37+,0.0,6.7
Cleveland Cavaliers Detroit Pistons,Cade Cunningham,Puntos (hitos),39+,0.0,9.0
Cleveland Cavaliers Detroit Pistons,Cade Cunningham,Puntos (hitos),41+,0.0,11.5
Cleveland Cavaliers Detroit Pistons,James Harden,Puntos (hitos),17+,0.0,1.52
Cleveland Cavaliers Detroit Pistons,James Harden,Puntos (hitos),19+,0.0,1.87
Cleveland Cavaliers Detroit Pistons,James Harden,Puntos (hitos),21+,0.0,2.42
Cleveland Cavaliers Detroit Pistons,James Harden,Puntos (hitos),23+,0.0,3.25
Cleveland Cavaliers Detroit Pistons,James Harden,Puntos (hitos),25+,0.0,4.45
Cleveland Cavaliers Detroit Pistons,James Harden,Puntos (hitos),27+,0.0,6.2
Cleveland Cavaliers Detroit Pistons,James Harden,Puntos (hitos),29+,0.0,8.5
Cleveland Cavaliers Detroit Pistons,James Harden,Puntos (hitos),31+,0.0,11.25
Cleveland Cavaliers Detroit Pistons,James Harden,Puntos (hitos),33+,0.0,14.0
Cleveland Cavaliers Detroit Pistons,Tobias Harris,Puntos (hitos),17+,0.0,1.57
Cleveland Cavaliers Detroit Pistons,Tobias Harris,Puntos (hitos),19+,0.0,1.95
Cleveland Cavaliers Detroit Pistons,Tobias Harris,Puntos (hitos),21+,0.0,2.55
Cleveland Cavaliers Detroit Pistons,Tobias Harris,Puntos (hitos),23+,0.0,3.45
Cleveland Cavaliers Detroit Pistons,Tobias Harris,Puntos (hitos),25+,0.0,4.8
Cleveland Cavaliers Detroit Pistons,Tobias Harris,Puntos (hitos),27+,0.0,6.7
Cleveland Cavaliers Detroit Pistons,Tobias Harris,Puntos (hitos),29+,0.0,9.25
Cleveland Cavaliers Detroit Pistons,Tobias Harris,Puntos (hitos),31+,0.0,12.0
Cleveland Cavaliers Detroit Pistons,Tobias Harris,Puntos (hitos),33+,0.0,15.0
Cleveland Cavaliers Detroit Pistons,Evan Mobley,Puntos (hitos),14+,0.0,1.47
Cleveland Cavaliers Detroit Pistons,Evan Mobley,Puntos (hitos),16+,0.0,1.87
Cleveland Cavaliers Detroit Pistons,Evan Mobley,Puntos (hitos),18+,0.0,2.47
Cleveland Cavaliers Detroit Pistons,Evan Mobley,Puntos (hitos),20+,0.0,3.45
Cleveland Cavaliers Detroit Pistons,Evan Mobley,Puntos (hitos),22+,0.0,5.0
Cleveland Cavaliers Detroit Pistons,Evan Mobley,Puntos (hitos),24+,0.0,7.2
Cleveland Cavaliers Detroit Pistons,Evan Mobley,Puntos (hitos),26+,0.0,10.0
Cleveland Cavaliers Detroit Pistons,Evan Mobley,Puntos (hitos),28+,0.0,13.0
Cleveland Cavaliers Detroit Pistons,Evan Mobley,Puntos (hitos),30+,0.0,16.0
Cleveland Cavaliers Detroit Pistons,Jalen Duren,Puntos (hitos),11+,0.0,1.4
Cleveland Cavaliers Detroit Pistons,Jalen Duren,Puntos (hitos),13+,0.0,1.8
Cleveland Cavaliers Detroit Pistons,Jalen Duren,Puntos (hitos),15+,0.0,2.47
Cleveland Cavaliers Detroit Pistons,Jalen Duren,Puntos (hitos),17+,0.0,3.6
Cleveland Cavaliers Detroit Pistons,Jalen Duren,Puntos (hitos),19+,0.0,5.4
Cleveland Cavaliers Detroit Pistons,Jalen Duren,Puntos (hitos),21+,0.0,8.25
Cleveland Cavaliers Detroit Pistons,Jalen Duren,Puntos (hitos),23+,0.0,11.5
Cleveland Cavaliers Detroit Pistons,Jalen Duren,Puntos (hitos),25+,0.0,15.0
Cleveland Cavaliers Detroit Pistons,Jalen Duren,Puntos (hitos),27+,0.0,17.5
Cleveland Cavaliers Detroit Pistons,Jarrett Allen,Puntos (hitos),11+,0.0,1.5
Cleveland Cavaliers Detroit Pistons,Jarrett Allen,Puntos (hitos),13+,0.0,1.95
Cleveland Cavaliers Detroit Pistons,Jarrett Allen,Puntos (hitos),15+,0.0,2.72
Cleveland Cavaliers Detroit Pistons,Jarrett Allen,Puntos (hitos),17+,0.0,4.05
Cleveland Cavaliers Detroit Pistons,Jarrett Allen,Puntos (hitos),19+,0.0,6.2
Cleveland Cavaliers Detroit Pistons,Jarrett Allen,Puntos (hitos),21+,0.0,9.25
Cleveland Cavaliers Detroit Pistons,Jarrett Allen,Puntos (hitos),23+,0.0,12.5
Cleveland Cavaliers Detroit Pistons,Jarrett Allen,Puntos (hitos),25+,0.0,15.5
Cleveland Cavaliers Detroit Pistons,Jarrett Allen,Puntos (hitos),27+,0.0,18.0
Cleveland Cavaliers Detroit Pistons,Duncan Robinson,Puntos (hitos),10+,0.0,1.5
Cleveland Cavaliers Detroit Pistons,Duncan Robinson,Puntos (hitos),12+,0.0,1.87
Cleveland Cavaliers Detroit Pistons,Duncan Robinson,Puntos (hitos),14+,0.0,2.5
Cleveland Cavaliers Detroit Pistons,Duncan Robinson,Puntos (hitos),16+,0.0,3.5
Cleveland Cavaliers Detroit Pistons,Duncan Robinson,Puntos (hitos),18+,0.0,5.0
Cleveland Cavaliers Detroit Pistons,Duncan Robinson,Puntos (hitos),20+,0.0,7.1
Cleveland Cavaliers Detroit Pistons,Duncan Robinson,Puntos (hitos),22+,0.0,10.0
Cleveland Cavaliers Detroit Pistons,Duncan Robinson,Puntos (hitos),24+,0.0,13.0
Cleveland Cavaliers Detroit Pistons,Duncan Robinson,Puntos (hitos),26+,0.0,15.5
Cleveland Cavaliers Detroit Pistons,Ausar Thompson,Puntos (hitos),9+,0.0,1.57
Cleveland Cavaliers Detroit Pistons,Ausar Thompson,Puntos (hitos),10+,0.0,1.78
Cleveland Cavaliers Detroit Pistons,Ausar Thompson,Puntos (hitos),11+,0.0,2.18
Cleveland Cavaliers Detroit Pistons,Ausar Thompson,Puntos (hitos),12+,0.0,2.57
Cleveland Cavaliers Detroit Pistons,Ausar Thompson,Puntos (hitos),13+,0.0,3.2
Cleveland Cavaliers Detroit Pistons,Ausar Thompson,Puntos (hitos),14+,0.0,3.95
