row_uid,snapshot_id,scraped_at_source,scraped_at_utc,book,sport,league,source_file,partido,game_norm,jugador,player_norm,mercado_raw,linea_raw,handicap_raw,odds_decimal,market_key,stat_key,side,threshold,model_line,event_text,valid,error
d265482a416cefce612257ef75bc93e0b945040d,20260512_130723,2026-05-12T13:07:23-03:00,2026-05-12T16:07:23+00:00,betano,basketball,NBA,props_nba_20260512_130723.csv,San Antonio Spurs Minnesota Timberwolves,san antonio spurs minnesota timberwolves,Victor Wembanyama,victor wembanyama,Puntos (hitos),25+,0.0,1.45,player_points_hito,PTS,over,25,24.5,Victor Wembanyama 25+ PTS,1,
8958dae210ba10c409936616148cbc74886332ce,20260512_130723,2026-05-12T13:07:23-03:00,2026-05-12T16:07:23+00:00,betano,basketball,NBA,props_nba_20260512_130723.csv,San Antonio Spurs Minnesota Timberwolves,san antonio spurs minnesota timberwolves,Victor Wembanyama,victor wembanyama,Puntos (hitos),26+,0.0,1.57,player_points_hito,PTS,over,26,25.5,Victor Wembanyama 26+ PTS,1,
c2e4625afe4f2ef068ae67ea7f53c33f470ee719,20260512_130723,2026-05-12T13:07:23-03:00,2026-05-12T16:07:23+00:00,betano,basketball,NBA,props_nba_20260512_130723.csv,San Antonio Spurs Minnesota Timberwolves,san antonio spurs minnesota timberwolves,Victor Wembanyama,victor wembanyama,Puntos (hitos),27+,0.0,1.72,player_points_hito,PTS,over,27,26.5,Victor Wembanyama 27+ PTS,1,
27e33553d0dc51008ffe1bcd8570c3abef1f15c0,20260512_130723,2026-05-12T13:07:23-03:00,2026-05-12T16:07:23+00:00,betano,basketball,NBA,props_nba_20260512_130723.csv,San Antonio Spurs Minnesota Timberwolves,san antonio spurs minnesota timberwolves,Victor Wembanyama,victor wembanyama,Puntos (hitos),28+,0.0,1.9,player_points_hito,PTS,over,28,27.5,Victor Wembanyama 28+ PTS,1,
5e7b6b9cd0dacd955bc4dc45e7f951acaf12f17e,20260512_130723,2026-05-12T13:07:23-03:00,2026-05-12T16:07:23+00:00,betano,basketball,NBA,props_nba_20260512_130723.csv,San Antonio Spurs Minnesota Timberwolves,san antonio spurs minnesota timberwolves,Victor Wembanyama,victor wembanyama,Puntos (hitos),29+,0.0,2.1,player_points_hito,PTS,over,29,28.5,Victor Wembanyama 29+ PTS,1,
7d659543265413e86828fad9d6c2ff26d444cce0,20260512_130723,2026-05-12T13:07:23-03:00,2026-05-12T16:07:23+00:00,betano,basketball,NBA,props_nba_20260512_130723.csv,San Antonio Spurs Minnesota Timberwolves,san antonio spurs minnesota timberwolves,Victor Wembanyama,victor wembanyama,Puntos (hitos),30+,0.0,2.37,player_points_hito,PTS,over,30,29.5,Victor Wembanyama 30+ PTS,1,
61dfe9f04a06263caa7e4b49b2cb91a6b03ff30f,20260512_130723,2026-05-12T13:07:23-03:00,2026-05-12T16:07:23+00:00,betano,basketball,NBA,props_nba_20260512_130723.csv,San Antonio Spurs Minnesota Timberwolves,san antonio spurs minnesota timberwolves,Victor Wembanyama,victor wembanyama,Puntos (hitos),31+,0.0,2.67,player_points_hito,PTS,over,31,30.5,Victor Wembanyama 31+ PTS,1,
363966e6575396c0dd29124c9e4859ae7abbbcd1,20260512_130723,2026-05-12T13:07:23-03:00,2026-05-12T16:07:23+00:00,betano,basketball,NBA,props_nba_20260512_130723.csv,San Antonio Spurs Minnesota Timberwolves,san antonio spurs minnesota timberwolves,Victor Wembanyama,victor wembanyama,Puntos (hitos),32+,0.0,3,player_points_hito,PTS,over,32,31.5,Victor Wembanyama 32+ PTS,1,
e9aa74c9f96ef7b78b67511d56415ef90da8a781,20260512_130723,2026-05-12T13:07:23-03:00,2026-05-12T16:07:23+00:00,betano,basketball,NBA,props_nba_20260512_130723.csv,San Antonio Spurs Minnesota Timberwolves,san antonio spurs minnesota timberwolves,Victor Wembanyama,victor wembanyama,Puntos (hitos),33+,0.0,3.5,player_points_hito,PTS,over,33,32.5,Victor Wembanyama 33+ PTS,1,
1535d7fee77b99e4ee83bc8ce399e251796ab1a9,20260512_130723,2026-05-12T13:07:23-03:00,2026-05-12T16:07:23+00:00,betano,basketball,NBA,props_nba_20260512_130723.csv,San Antonio Spurs Minnesota Timberwolves,san antonio spurs minnesota timberwolves,Anthony Edwards,anthony edwards,Puntos (hitos),25+,0.0,1.47,player_points_hito,PTS,over,25,24.5,Anthony Edwards 25+ PTS,1,
