Fecha_Partido,Partido,Jugador,Equipo,Stat,Linea,Over,Under
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS,26.5,1.86,1.81
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,REBOUNDS,5.5,2.07,1.65
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,THREESMADE,2.5,2.24,1.56
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS+REBOUNDS,31.5,1.79,1.89
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS+ASSISTS,35.5,1.77,1.9
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,PRA,41.5,1.87,1.8
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,ASSISTS+REBOUNDS,14.5,1.85,1.82
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,ASSISTS,9.5,1.99,1.7
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS,12.5,1.83,1.84
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,REBOUNDS,9.5,1.87,1.8
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS+REBOUNDS,22.5,1.91,1.77
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS+ASSISTS,14.5,1.83,1.84
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,PRA,24.5,1.91,1.77
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,ASSISTS+REBOUNDS,11.5,1.89,1.78
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,ASSISTS,1.5,1.64,2.09
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS,19.5,1.94,1.74
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,REBOUNDS,6.5,1.77,1.9
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,THREESMADE,1.5,1.67,2.04
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+REBOUNDS,25.5,1.78,1.89
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+ASSISTS,21.5,1.94,1.74
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,27.5,1.78,1.89
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,ASSISTS+REBOUNDS,8.5,1.8,1.88
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,ASSISTS,1.5,1.6,2.14
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS,8.5,1.78,1.9
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,REBOUNDS,2.5,1.93,1.75
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,THREESMADE,0.5,1.51,2.34
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS+REBOUNDS,11.5,1.87,1.8
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS+ASSISTS,11.5,1.73,1.95
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,PRA,14.5,1.83,1.84
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,ASSISTS+REBOUNDS,5.5,1.81,1.86
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,ASSISTS,3.5,2.23,1.56
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS,7.5,1.81,1.86
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,REBOUNDS,2.5,1.96,1.72
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,THREESMADE,0.5,1.45,2.48
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS+REBOUNDS,10.5,1.9,1.77
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,POINTS+ASSISTS,9.5,1.74,1.94
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,PRA,12.5,1.82,1.85
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,ASSISTS+REBOUNDS,4.5,1.8,1.87
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Caris LeVert,Detroit Pistons,ASSISTS,2.5,2.3,1.53
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS,11.5,1.77,1.9
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,REBOUNDS,2.5,1.8,1.87
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,THREESMADE,2.5,1.75,1.93
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS+REBOUNDS,14.5,1.81,1.86
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,POINTS+ASSISTS,14.5,1.91,1.77
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,PRA,16.5,1.74,1.93
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,ASSISTS+REBOUNDS,4.5,1.67,2.04
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Duncan Robinson,Detroit Pistons,ASSISTS,2.5,2.25,1.55
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS,8.5,1.74,1.94
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,REBOUNDS,6.5,1.73,1.96
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS+REBOUNDS,15.5,1.73,1.95
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,POINTS+ASSISTS,12.5,1.91,1.77
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,PRA,19.5,1.88,1.79
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,ASSISTS+REBOUNDS,9.5,1.68,2.02
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Ausar Thompson,Detroit Pistons,ASSISTS,3.5,2.23,1.56
2026-05-21,Detroit Pistons - Cleveland Cavaliers,Jarrett Allen,Cleveland Cavaliers,POINTS,12.5,1.86,1.81
