Fecha_Partido,Partido,Jugador,Equipo,Stat,Linea,Over,Under
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS,26.5,1.9,1.78
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS,27.5,1.99,1.61
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS,24.5,1.56,2.06
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS,28.5,2.1,1.54
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS,23.5,1.49,2.19
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS,29.5,2.35,1.43
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS,30.5,2.61,1.35
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS,22.5,1.39,2.46
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS,31.5,2.92,1.28
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,REBOUNDS,5.5,2.06,1.65
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,REBOUNDS,6.5,2.64,1.34
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,REBOUNDS,4.5,1.54,2.1
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,THREESMADE,2.5,2.23,1.56
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,THREESMADE,1.5,1.41,2.4
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS+REBOUNDS,31.5,1.86,1.81
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS+REBOUNDS,32.5,1.95,1.63
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS+REBOUNDS,29.5,1.55,2.09
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS+REBOUNDS,33.5,2.05,1.57
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS+ASSISTS,34.5,1.79,1.88
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS+ASSISTS,35.5,1.89,1.68
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS+ASSISTS,32.5,1.56,2.06
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,POINTS+ASSISTS,36.5,2.05,1.57
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,PRA,40.5,1.9,1.77
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,PRA,41.5,1.97,1.62
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,PRA,42.5,2.08,1.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,PRA,38.5,1.59,2.01
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,PRA,43.5,2.29,1.45
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,PRA,37.5,1.53,2.12
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,PRA,44.5,2.51,1.38
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,PRA,36.5,1.44,2.32
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,PRA,45.5,2.78,1.31
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,ASSISTS+REBOUNDS,13.5,1.78,1.89
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,ASSISTS+REBOUNDS,14.5,2.06,1.56
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,ASSISTS,8.5,1.93,1.75
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,ASSISTS,9.5,2.31,1.44
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Cade Cunningham,Detroit Pistons,ASSISTS,7.5,1.56,2.07
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS,11.5,1.78,1.89
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS,12.5,1.98,1.61
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS,13.5,2.14,1.52
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS,9.5,1.43,2.34
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS,14.5,2.52,1.37
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS,8.5,1.33,2.67
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS,15.5,2.9,1.28
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,REBOUNDS,8.5,1.73,1.96
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,REBOUNDS,9.5,1.99,1.61
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,REBOUNDS,10.5,2.35,1.43
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS+REBOUNDS,20.5,1.8,1.87
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS+REBOUNDS,21.5,1.89,1.68
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS+REBOUNDS,18.5,1.54,2.1
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS+REBOUNDS,22.5,2.08,1.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS+ASSISTS,13.5,1.84,1.83
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS+ASSISTS,12.5,1.61,1.98
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,POINTS+ASSISTS,14.5,1.98,1.61
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,PRA,22.5,1.82,1.85
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,PRA,23.5,1.92,1.66
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,PRA,20.5,1.57,2.05
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,PRA,24.5,2.1,1.54
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,PRA,19.5,1.46,2.27
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,PRA,25.5,2.2,1.49
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,PRA,18.5,1.36,2.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,PRA,26.5,2.44,1.4
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,ASSISTS+REBOUNDS,10.5,1.77,1.9
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,ASSISTS+REBOUNDS,11.5,2.02,1.59
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,ASSISTS,1.5,1.71,1.98
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Jalen Duren,Detroit Pistons,ASSISTS,2.5,2.75,1.31
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS,16.5,1.81,1.86
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS,17.5,1.94,1.64
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS,14.5,1.49,2.21
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS,18.5,2.1,1.54
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS,13.5,1.36,2.57
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS,19.5,2.39,1.42
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS,20.5,2.74,1.32
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,REBOUNDS,5.5,1.62,2.11
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,REBOUNDS,4.5,1.32,2.74
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,REBOUNDS,6.5,2.03,1.58
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,REBOUNDS,7.5,2.66,1.34
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,THREESMADE,1.5,2.01,1.69
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+REBOUNDS,21.5,1.6,2.0
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+REBOUNDS,22.5,1.79,1.88
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+REBOUNDS,23.5,1.91,1.66
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+REBOUNDS,24.5,2.08,1.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+ASSISTS,17.5,1.62,1.96
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+ASSISTS,18.5,1.83,1.84
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+ASSISTS,19.5,1.95,1.63
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+ASSISTS,20.5,2.11,1.54
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,24.5,1.81,1.86
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,25.5,1.91,1.66
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,22.5,1.54,2.1
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,26.5,2.08,1.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,27.5,2.23,1.48
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,21.5,1.42,2.39
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,28.5,2.49,1.38
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,20.5,1.32,2.71
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,ASSISTS+REBOUNDS,7.5,1.7,1.99
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,ASSISTS+REBOUNDS,8.5,2.09,1.54
