Fecha_Partido,Partido,Jugador,Equipo,Stat,Linea,Over,Under
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,POINTS,2.5,1.84,1.83
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,POINTS,3.5,2.44,1.4
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,POINTS,0.5,1.51,2.17
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,POINTS,4.5,2.68,1.33
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,REBOUNDS,0.5,1.77,1.9
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,THREESMADE,0.5,2.03,1.67
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,POINTS+REBOUNDS,3.5,2.05,1.66
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,POINTS+ASSISTS,3.5,1.89,1.79
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,POINTS+ASSISTS,4.5,2.1,1.54
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,PRA,4.5,1.94,1.74
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,PRA,5.5,2.12,1.53
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,PRA,2.5,1.43,2.35
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,PRA,6.5,2.52,1.37
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,ASSISTS+REBOUNDS,1.5,1.77,1.91
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,ASSISTS,0.5,1.51,2.33
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,FIELDGOALSATTEMPTED,2.5,2.08,1.64
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,THREEPOINTERSATTEMPTED,1.5,1.91,1.76
2026-05-21,New York Knicks - Cleveland Cavaliers,Jose Alvarado,New York Knicks,PERSONALFOULS,0.5,1.84,1.83
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS,14.5,1.74,1.94
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS,15.5,1.88,1.68
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS,12.5,1.44,2.32
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS,16.5,2.11,1.54
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS,11.5,1.33,2.69
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS,17.5,2.3,1.45
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS,18.5,2.61,1.35
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,REBOUNDS,5.5,2.06,1.65
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,REBOUNDS,6.5,2.61,1.35
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,THREESMADE,2.5,2.31,1.52
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,STEALS,1.5,2.14,1.61
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,BLOCKS,0.5,1.71,1.98
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS+REBOUNDS,20.5,1.87,1.8
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS+REBOUNDS,21.5,1.97,1.62
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS+REBOUNDS,18.5,1.56,2.06
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS+REBOUNDS,22.5,2.13,1.53
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS+ASSISTS,16.5,1.82,1.85
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS+ASSISTS,17.5,1.96,1.63
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS+ASSISTS,14.5,1.51,2.16
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,POINTS+ASSISTS,18.5,2.13,1.53
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,PRA,21.5,1.76,1.92
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,PRA,22.5,1.88,1.69
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,PRA,19.5,1.51,2.16
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,PRA,23.5,2.07,1.56
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,PRA,18.5,1.4,2.45
2026-05-21,New York Knicks - Cleveland Cavaliers,OG Anunoby,New York Knicks,PRA,24.5,2.23,1.48
