stat,target,rows,players,games,date_min,date_max,mae_cv,mae_cv_std,mae_final,allow_main,model_file
BLK,blk,155071,1069,7296,2020-12-25,2026-05-30,0.5198,0.0055,0.5192,False,modelos_ai_v35/ludogallina_tapones.pkl
STL,stl,155071,1069,7296,2020-12-25,2026-05-30,0.6986,0.0141,0.7219,False,modelos_ai_v35/ludogallina_robos.pkl
3PT,fg3m,155071,1069,7296,2020-12-25,2026-05-30,0.8719,0.0115,0.8837,True,modelos_ai_v35/ludogallina_triples.pkl
TOV,tov,155071,1069,7296,2020-12-25,2026-05-30,0.8826,0.0061,0.8891,True,modelos_ai_v35/ludogallina_perdidas.pkl
STL+BLK,stl_blk,155071,1069,7296,2020-12-25,2026-05-30,0.9132,0.0132,0.9398,False,modelos_ai_v35/ludogallina_robos_tapones.pkl
PF,pf,155071,1069,7296,2020-12-25,2026-05-30,1.069,0.0128,1.0657,False,modelos_ai_v35/ludogallina_faltas.pkl
FTM,ftm,155071,1069,7296,2020-12-25,2026-05-30,1.3266,0.0187,1.3252,True,modelos_ai_v35/ludogallina_libres_anotados.pkl
AST,ast,155071,1069,7296,2020-12-25,2026-05-30,1.327,0.0168,1.3426,True,modelos_ai_v35/ludogallina_asistencias.pkl
FG3A,fg3a,155071,1069,7296,2020-12-25,2026-05-30,1.4801,0.0234,1.5055,True,modelos_ai_v35/ludogallina_triples_intentados.pkl
FTA,fta,155071,1069,7296,2020-12-25,2026-05-30,1.6105,0.0229,1.6123,True,modelos_ai_v35/ludogallina_libres_intentados.pkl
FGM,fgm,155071,1069,7296,2020-12-25,2026-05-30,1.7739,0.0128,1.746,True,modelos_ai_v35/ludogallina_tiros_anotados.pkl
REB,reb,155071,1069,7296,2020-12-25,2026-05-30,1.9105,0.0189,1.9001,True,modelos_ai_v35/ludogallina_rebotes.pkl
RA,ra,155071,1069,7296,2020-12-25,2026-05-30,2.6197,0.0178,2.6159,True,modelos_ai_v35/ludogallina_ra.pkl
FGA,fga,155071,1069,7296,2020-12-25,2026-05-30,2.8028,0.0179,2.7815,True,modelos_ai_v35/ludogallina_tiros_intentados.pkl
PTS,pts,155071,1069,7296,2020-12-25,2026-05-30,4.6027,0.0249,4.5566,True,modelos_ai_v35/ludogallina_puntos.pkl
PA,pa,155071,1069,7296,2020-12-25,2026-05-30,5.0751,0.0169,5.0384,True,modelos_ai_v35/ludogallina_pa.pkl
PR,pr,155071,1069,7296,2020-12-25,2026-05-30,5.5878,0.0356,5.527,True,modelos_ai_v35/ludogallina_pr.pkl
PRA,pra,155071,1069,7296,2020-12-25,2026-05-30,6.0869,0.0245,6.0385,True,modelos_ai_v35/ludogallina_pra.pkl
