created_at_utc,snapshot_id,book,partido,jugador,player_norm,game_norm,pred_player,player_id,team,pred_game,pred_game_norm,game_match,team_game_match,mercado_raw,linea_raw,stat_key,side,threshold,model_line,odds_decimal,pred_mean,pred_std,prob_model,prob_implied,edge_prob,ev,ev_pct,row_uid,pick_uid
2026-05-08T21:05:19+00:00,20260508_163041,betano,Cleveland Cavaliers Detroit Pistons,Isaiah Stewart,isaiah stewart,cleveland cavaliers detroit pistons,Isaiah Stewart,1630191,DET,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Rebotes (hitos),4+,REB,over,4,3.5,2.95,4.56785,1.9667,0.706423,0.338983,0.367440,1.083948,108.39,117869eb6da1595459258c6875aa6111826baa84,117869eb6da1595459258c6875aa6111826baa84|4.5678|1.9667
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Luke Kornet,luke kornet,minnesota timberwolves san antonio spurs,Luke Kornet,1628436,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,RA (hitos),6+,RA,over,6,5.5,2.87,7.11379,2.6976,0.725158,0.348432,0.376725,1.081202,108.12,52e6c02bd84c4997084818567acbdfd42a99c3f9,52e6c02bd84c4997084818567acbdfd42a99c3f9|7.1138|2.6976
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Luke Kornet,luke kornet,minnesota timberwolves san antonio spurs,Luke Kornet,1628436,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Rebotes (hitos),5+,REB,over,5,4.5,2.87,5.47898,1.9667,0.690679,0.348432,0.342247,0.982249,98.22,3a6221471066aa2cc37befb7bf8ff870564e8f1e,3a6221471066aa2cc37befb7bf8ff870564e8f1e|5.4790|1.9667
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Harrison Barnes,harrison barnes,minnesota timberwolves san antonio spurs,Harrison Barnes,203084,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,RA (hitos),3+,RA,over,3,2.5,2.82,3.87414,2.6976,0.694762,0.354610,0.340152,0.959230,95.92,58a20b1012de79d3d3d02b100b4a08888c0c83d3,58a20b1012de79d3d3d02b100b4a08888c0c83d3|3.8741|2.6976
2026-05-08T21:05:18+00:00,20260508_163041,betano,Philadelphia 76Ers New York Knicks,Joel Embiid,joel embiid,philadelphia 76ers new york knicks,Joel Embiid,203954,PHI,Philadelphia 76ers @ New York Knicks,philadelphia 76ers new york knicks,1,1,Puntos (hitos),28+,PTS,over,28,27.5,2.52,30.5289,4.8341,0.734526,0.396825,0.337701,0.851007,85.10,2f26de4650655efac436d0f877efaaccab030abd,2f26de4650655efac436d0f877efaaccab030abd|30.5289|4.8341
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Luke Kornet,luke kornet,minnesota timberwolves san antonio spurs,Luke Kornet,1628436,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,PRA (hitos),10+,PRA,over,10,9.5,2.37,14.147,6.1893,0.773616,0.421941,0.351675,0.833471,83.35,d32b10268cd69ae3c5f3a4c4523b38500b7791b3,d32b10268cd69ae3c5f3a4c4523b38500b7791b3|14.1470|6.1893
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Ayo Dosunmu,ayo dosunmu,minnesota timberwolves san antonio spurs,Ayo Dosunmu,1630245,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),12+,PTS,over,12,11.5,2.45,14.3516,4.8341,0.722366,0.408163,0.314202,0.769796,76.98,9360c7d5dd611112c522f168df2efd6fa517d47b,9360c7d5dd611112c522f168df2efd6fa517d47b|14.3516|4.8341
2026-05-08T21:05:19+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Jake LaRavia,jake laravia,los angeles lakers oklahoma city thunder,Jake LaRavia,1631222,LAL,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,Rebotes (hitos),3+,REB,over,3,2.5,2.18,3.97764,1.9667,0.773772,0.458716,0.315057,0.686824,68.68,ada49bc892ad4823c11583035511169a975ff764,ada49bc892ad4823c11583035511169a975ff764|3.9776|1.9667
2026-05-08T21:05:18+00:00,20260508_163041,betano,Philadelphia 76Ers New York Knicks,Joel Embiid,joel embiid,philadelphia 76ers new york knicks,Joel Embiid,203954,PHI,Philadelphia 76ers @ New York Knicks,philadelphia 76ers new york knicks,1,1,PRA (hitos),40+,PRA,over,40,39.5,2.15,44.1722,6.1893,0.774842,0.465116,0.309726,0.665911,66.59,5264daed1274cff40d7c23b2a757108d9e8f8f46,5264daed1274cff40d7c23b2a757108d9e8f8f46|44.1722|6.1893
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Luke Kornet,luke kornet,minnesota timberwolves san antonio spurs,Luke Kornet,1628436,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),5+,PTS,over,5,4.5,2.4,6.81749,4.8341,0.684174,0.416667,0.267508,0.642019,64.20,6ed4a6a95b4c86eaa5d81bde333791ffc74aca73,6ed4a6a95b4c86eaa5d81bde333791ffc74aca73|6.8175|4.8341
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Harrison Barnes,harrison barnes,minnesota timberwolves san antonio spurs,Harrison Barnes,203084,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Rebotes (hitos),2+,REB,over,2,1.5,2.3,2.59415,1.9667,0.711010,0.434783,0.276228,0.635323,63.53,047400f3db48a2b816457b86eb5d4875fd032fba,047400f3db48a2b816457b86eb5d4875fd032fba|2.5942|1.9667
2026-05-08T21:05:19+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,isaiah joe,los angeles lakers oklahoma city thunder,Isaiah Joe,1630198,OKC,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,Asistencias (hitos),1+,AST,over,1,0.5,2.12,1.55196,1.4546,0.765221,0.471698,0.293523,0.622268,62.23,82e07fa5eadc3a6bdfcc0925cccce5a9401986d3,82e07fa5eadc3a6bdfcc0925cccce5a9401986d3|1.5520|1.4546
2026-05-08T21:05:19+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,isaiah joe,los angeles lakers oklahoma city thunder,Isaiah Joe,1630198,OKC,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,Triples (hitos),1+,3PM,over,1,0.5,1.52,2.44061,0.9642,0.977925,0.657895,0.320030,0.486446,48.64,c614c45e8b99bd06e479ab4882af7489314e4d5e,c614c45e8b99bd06e479ab4882af7489314e4d5e|2.4406|0.9642
2026-05-08T21:05:19+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,deandre ayton,los angeles lakers oklahoma city thunder,Deandre Ayton,1629028,LAL,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,Puntos (hitos),11+,PTS,over,11,10.5,2.22,12.5822,4.8341,0.666666,0.450450,0.216215,0.479998,48.00,6a8fae6a46b01e5e3e4dbde6a969a9c167bd3c9e,6a8fae6a46b01e5e3e4dbde6a969a9c167bd3c9e|12.5822|4.8341
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Keldon Johnson,keldon johnson,minnesota timberwolves san antonio spurs,Keldon Johnson,1629640,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,RA (hitos),6+,RA,over,6,5.5,2.18,6.6452,2.6976,0.664408,0.458716,0.205693,0.448410,44.84,d3a71323f05fadd7a0e51c9cbbfb2dcecd6eb573,d3a71323f05fadd7a0e51c9cbbfb2dcecd6eb573|6.6452|2.6976
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Harrison Barnes,harrison barnes,minnesota timberwolves san antonio spurs,Harrison Barnes,203084,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Asistencias (hitos),1+,AST,over,1,0.5,2.02,1.32575,1.4546,0.714875,0.495050,0.219825,0.444047,44.40,02899844e45b129205335a8b64ecc66c66716cfc,02899844e45b129205335a8b64ecc66c66716cfc|1.3258|1.4546
2026-05-08T21:05:19+00:00,20260508_163041,betano,Cleveland Cavaliers Detroit Pistons,Duncan Robinson,duncan robinson,cleveland cavaliers detroit pistons,Duncan Robinson,1629130,DET,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Rebotes (hitos),3+,REB,over,3,2.5,2.05,3.53943,1.9667,0.701428,0.487805,0.213624,0.437928,43.79,21935110e88fe896e0d8785c30f609ff43ecf433,21935110e88fe896e0d8785c30f609ff43ecf433|3.5394|1.9667
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Ayo Dosunmu,ayo dosunmu,minnesota timberwolves san antonio spurs,Ayo Dosunmu,1630245,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,PRA (hitos),18+,PRA,over,18,17.5,2.2,19.8979,6.1893,0.650780,0.454545,0.196234,0.431715,43.17,132b70c3fef13385a2832dddbd3c1df3089fa3a1,132b70c3fef13385a2832dddbd3c1df3089fa3a1|19.8979|6.1893
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Rudy Gobert,rudy gobert,minnesota timberwolves san antonio spurs,Rudy Gobert,203497,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Rebotes (hitos),11+,REB,over,11,10.5,1.72,12.36,1.9667,0.827862,0.581395,0.246466,0.423922,42.39,295eea8712c6ebe417050c532f14ffc2aa16a2c7,295eea8712c6ebe417050c532f14ffc2aa16a2c7|12.3600|1.9667
2026-05-08T21:05:19+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Jared McCain,jared mccain,los angeles lakers oklahoma city thunder,Jared McCain,1642272,OKC,Oklahoma City Thunder @ Los Angeles Lakers,oklahoma city thunder los angeles lakers,1,1,Asistencias (hitos),1+,AST,over,1,0.5,1.78,1.524,1.4546,0.759276,0.561798,0.197478,0.351510,35.15,7e254fb6ea50d06886a0f6ccd57ad994e1760880,7e254fb6ea50d06886a0f6ccd57ad994e1760880|1.5240|1.4546
2026-05-08T21:05:19+00:00,20260508_163041,betano,Cleveland Cavaliers Detroit Pistons,Tobias Harris,tobias harris,cleveland cavaliers detroit pistons,Tobias Harris,202699,DET,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Asistencias (hitos),2+,AST,over,2,1.5,1.75,2.54968,1.4546,0.764739,0.571429,0.193310,0.338293,33.83,2ace9937760c4e7be2110976d65da4504fb11174,2ace9937760c4e7be2110976d65da4504fb11174|2.5497|1.4546
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Ayo Dosunmu,ayo dosunmu,minnesota timberwolves san antonio spurs,Ayo Dosunmu,1630245,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Asistencias (hitos),3+,AST,over,3,2.5,1.72,3.61254,1.4546,0.777818,0.581395,0.196422,0.337847,33.78,e27f35fc96bfb234ecb68ef38257bff3b4659bbe,e27f35fc96bfb234ecb68ef38257bff3b4659bbe|3.6125|1.4546
2026-05-08T21:05:18+00:00,20260508_163041,betano,Philadelphia 76Ers New York Knicks,Mitchell Robinson,mitchell robinson,philadelphia 76ers new york knicks,Mitchell Robinson,1629011,NYK,Philadelphia 76ers @ New York Knicks,philadelphia 76ers new york knicks,1,1,Rebotes (hitos),7+,REB,over,7,6.5,1.67,8.14157,1.9667,0.798051,0.598802,0.199249,0.332746,33.27,358613f737a36dbd662392660b8426c2512aeaf0,358613f737a36dbd662392660b8426c2512aeaf0|8.1416|1.9667
2026-05-08T21:05:19+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,jaylin williams,los angeles lakers oklahoma city thunder,Jaylin Williams,1631119,OKC,Oklahoma City Thunder @ Los Angeles Lakers,oklahoma city thunder los angeles lakers,1,1,Rebotes (hitos),4+,REB,over,4,3.5,1.98,4.36627,1.9667,0.670201,0.505051,0.165150,0.326998,32.70,4069df23b8ab6d9e342aeb4d6b26b8888d40e7da,4069df23b8ab6d9e342aeb4d6b26b8888d40e7da|4.3663|1.9667
2026-05-08T21:05:19+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,cason wallace,los angeles lakers oklahoma city thunder,Cason Wallace,1641717,OKC,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,Asistencias (hitos),2+,AST,over,2,1.5,1.57,2.84963,1.4546,0.823253,0.636943,0.186310,0.292507,29.25,16ee73543a7333e1224004e538203498f6b3bef0,16ee73543a7333e1224004e538203498f6b3bef0|2.8496|1.4546
2026-05-08T21:05:19+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,cason wallace,los angeles lakers oklahoma city thunder,Cason Wallace,1641717,OKC,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,RA (hitos),5+,RA,over,5,4.5,1.91,5.72512,2.6976,0.675141,0.523560,0.151580,0.289519,28.95,690b566de51977c9ecc3f2bb3b5caa4cff3bb4b9,690b566de51977c9ecc3f2bb3b5caa4cff3bb4b9|5.7251|2.6976
2026-05-08T21:05:19+00:00,20260508_163041,betano,Cleveland Cavaliers Detroit Pistons,Max Strus,max strus,cleveland cavaliers detroit pistons,Max Strus,1629622,CLE,Cleveland Cavaliers @ Detroit Pistons,cleveland cavaliers detroit pistons,1,1,Puntos (hitos),9+,PTS,over,9,8.5,1.82,11.1208,4.8341,0.706144,0.549451,0.156694,0.285183,28.52,f3e7c01debfd2ad799ce050571b9260d8a861846,f3e7c01debfd2ad799ce050571b9260d8a861846|11.1208|4.8341
2026-05-08T21:05:19+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,cason wallace,los angeles lakers oklahoma city thunder,Cason Wallace,1641717,OKC,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,Rebotes (hitos),3+,REB,over,3,2.5,1.93,3.33215,1.9667,0.663896,0.518135,0.145761,0.281319,28.13,9ecf73c9241cdb8720b3e315686e67b92bc0dc09,9ecf73c9241cdb8720b3e315686e67b92bc0dc09|3.3321|1.9667
2026-05-08T21:05:19+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,De'Aaron Fox,de aaron fox,minnesota timberwolves san antonio spurs,De'Aaron Fox,1628368,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Asistencias (hitos),5+,AST,over,5,4.5,1.44,6.26205,1.4546,0.887122,0.694444,0.192677,0.277455,27.75,7c35fd0a85c429a0eb434dc18c0b0fc21f88a8e0,7c35fd0a85c429a0eb434dc18c0b0fc21f88a8e0|6.2620|1.4546
