created_at_utc,snapshot_id,book,partido,jugador,player_norm,game_norm,pred_player,player_id,team,pred_game,pred_game_norm,game_match,team_game_match,mercado_raw,linea_raw,stat_key,side,threshold,model_line,odds_decimal,pred_mean,pred_std,prob_model,prob_implied,edge_prob,ev,ev_pct,row_uid,pick_uid
2026-05-08T21:58:27+00:00,20260508_163041,betano,Cleveland Cavaliers Detroit Pistons,Isaiah Stewart,isaiah stewart,cleveland cavaliers detroit pistons,Isaiah Stewart,1630191,DET,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Rebotes (hitos),4+,REB,over,4,3.5,2.95,4.56785,1.9667,0.706423,0.338983,0.367440,1.083948,108.39,117869eb6da1595459258c6875aa6111826baa84,117869eb6da1595459258c6875aa6111826baa84|4.5678|1.9667
2026-05-08T21:58:26+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Luke Kornet,luke kornet,minnesota timberwolves san antonio spurs,Luke Kornet,1628436,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,RA (hitos),6+,RA,over,6,5.5,2.87,7.11379,2.6976,0.725158,0.348432,0.376725,1.081202,108.12,52e6c02bd84c4997084818567acbdfd42a99c3f9,52e6c02bd84c4997084818567acbdfd42a99c3f9|7.1138|2.6976
2026-05-08T21:58:26+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Harrison Barnes,harrison barnes,minnesota timberwolves san antonio spurs,Harrison Barnes,203084,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,RA (hitos),3+,RA,over,3,2.5,2.82,3.87414,2.6976,0.694762,0.354610,0.340152,0.959230,95.92,58a20b1012de79d3d3d02b100b4a08888c0c83d3,58a20b1012de79d3d3d02b100b4a08888c0c83d3|3.8741|2.6976
2026-05-08T21:58:26+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Ayo Dosunmu,ayo dosunmu,minnesota timberwolves san antonio spurs,Ayo Dosunmu,1630245,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),12+,PTS,over,12,11.5,2.45,14.3516,4.8341,0.722366,0.408163,0.314202,0.769796,76.98,9360c7d5dd611112c522f168df2efd6fa517d47b,9360c7d5dd611112c522f168df2efd6fa517d47b|14.3516|4.8341
2026-05-08T21:58:27+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Jake LaRavia,jake laravia,los angeles lakers oklahoma city thunder,Jake LaRavia,1631222,LAL,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,Rebotes (hitos),3+,REB,over,3,2.5,2.18,3.97764,1.9667,0.773772,0.458716,0.315057,0.686824,68.68,ada49bc892ad4823c11583035511169a975ff764,ada49bc892ad4823c11583035511169a975ff764|3.9776|1.9667
2026-05-08T21:58:27+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,isaiah joe,los angeles lakers oklahoma city thunder,Isaiah Joe,1630198,OKC,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,Triples (hitos),1+,3PM,over,1,0.5,1.52,2.44061,0.9642,0.977925,0.657895,0.320030,0.486446,48.64,c614c45e8b99bd06e479ab4882af7489314e4d5e,c614c45e8b99bd06e479ab4882af7489314e4d5e|2.4406|0.9642
2026-05-08T21:58:27+00:00,20260508_163041,betano,Cleveland Cavaliers Detroit Pistons,Duncan Robinson,duncan robinson,cleveland cavaliers detroit pistons,Duncan Robinson,1629130,DET,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Rebotes (hitos),3+,REB,over,3,2.5,2.05,3.53943,1.9667,0.701428,0.487805,0.213624,0.437928,43.79,21935110e88fe896e0d8785c30f609ff43ecf433,21935110e88fe896e0d8785c30f609ff43ecf433|3.5394|1.9667
2026-05-08T21:58:26+00:00,20260508_163041,betano,Philadelphia 76Ers New York Knicks,Joel Embiid,joel embiid,philadelphia 76ers new york knicks,Joel Embiid,203954,PHI,Philadelphia 76ers @ New York Knicks,philadelphia 76ers new york knicks,1,1,Puntos (hitos),23+,PTS,over,23,22.5,1.5,30.5289,4.8341,0.951631,0.666667,0.284965,0.427447,42.74,66a43bd7fd92bca91ed19dc31476b144c0948000,66a43bd7fd92bca91ed19dc31476b144c0948000|30.5289|4.8341
2026-05-08T21:58:27+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Jared McCain,jared mccain,los angeles lakers oklahoma city thunder,Jared McCain,1642272,OKC,Oklahoma City Thunder @ Los Angeles Lakers,oklahoma city thunder los angeles lakers,1,1,Asistencias (hitos),1+,AST,over,1,0.5,1.78,1.524,1.4546,0.759276,0.561798,0.197478,0.351510,35.15,7e254fb6ea50d06886a0f6ccd57ad994e1760880,7e254fb6ea50d06886a0f6ccd57ad994e1760880|1.5240|1.4546
2026-05-08T21:58:27+00:00,20260508_163041,betano,Cleveland Cavaliers Detroit Pistons,Tobias Harris,tobias harris,cleveland cavaliers detroit pistons,Tobias Harris,202699,DET,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Asistencias (hitos),2+,AST,over,2,1.5,1.75,2.54968,1.4546,0.764739,0.571429,0.193310,0.338293,33.83,2ace9937760c4e7be2110976d65da4504fb11174,2ace9937760c4e7be2110976d65da4504fb11174|2.5497|1.4546
2026-05-08T21:58:26+00:00,20260508_163041,betano,Philadelphia 76Ers New York Knicks,Mitchell Robinson,mitchell robinson,philadelphia 76ers new york knicks,Mitchell Robinson,1629011,NYK,Philadelphia 76ers @ New York Knicks,philadelphia 76ers new york knicks,1,1,Rebotes (hitos),7+,REB,over,7,6.5,1.67,8.14157,1.9667,0.798051,0.598802,0.199249,0.332746,33.27,358613f737a36dbd662392660b8426c2512aeaf0,358613f737a36dbd662392660b8426c2512aeaf0|8.1416|1.9667
2026-05-08T21:58:27+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,jaylin williams,los angeles lakers oklahoma city thunder,Jaylin Williams,1631119,OKC,Oklahoma City Thunder @ Los Angeles Lakers,oklahoma city thunder los angeles lakers,1,1,Rebotes (hitos),4+,REB,over,4,3.5,1.98,4.36627,1.9667,0.670201,0.505051,0.165150,0.326998,32.70,4069df23b8ab6d9e342aeb4d6b26b8888d40e7da,4069df23b8ab6d9e342aeb4d6b26b8888d40e7da|4.3663|1.9667
2026-05-08T21:58:26+00:00,20260508_163041,betano,Minnesota Timberwolves San Antonio Spurs,Rudy Gobert,rudy gobert,minnesota timberwolves san antonio spurs,Rudy Gobert,203497,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Rebotes (hitos),10+,REB,over,10,9.5,1.42,12.36,1.9667,0.927057,0.704225,0.222831,0.316420,31.64,64cc547dd16591ab807e475e70fe5eb04c0c125e,64cc547dd16591ab807e475e70fe5eb04c0c125e|12.3600|1.9667
2026-05-08T21:58:27+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,cason wallace,los angeles lakers oklahoma city thunder,Cason Wallace,1641717,OKC,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,Asistencias (hitos),2+,AST,over,2,1.5,1.57,2.84963,1.4546,0.823253,0.636943,0.186310,0.292507,29.25,16ee73543a7333e1224004e538203498f6b3bef0,16ee73543a7333e1224004e538203498f6b3bef0|2.8496|1.4546
2026-05-08T21:58:27+00:00,20260508_163041,betano,Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,deandre ayton,los angeles lakers oklahoma city thunder,Deandre Ayton,1629028,LAL,Los Angeles Lakers @ Oklahoma City Thunder,los angeles lakers oklahoma city thunder,1,1,Puntos (hitos),9+,PTS,over,9,8.5,1.6,12.5822,4.8341,0.800792,0.625000,0.175792,0.281267,28.13,e89fc9b17359459eb57e451917a1370192d0525d,e89fc9b17359459eb57e451917a1370192d0525d|12.5822|4.8341
