created_at_utc,snapshot_id,book,partido,jugador,player_norm,game_norm,pred_player,player_id,team,pred_game,pred_game_norm,game_match,team_game_match,mercado_raw,linea_raw,stat_key,side,threshold,model_line,odds_decimal,pred_mean,pred_std,prob_model,prob_implied,edge_prob,ev,ev_pct,row_uid,pick_uid,hit_l5,n_l5,hit_l10,n_l10,hr_l5,hr_l10,hit_rate,keep_reason
2026-05-15T19:14:00+00:00,20260515_154850,betano,Minnesota Timberwolves San Antonio Spurs,Devin Vassell,devin vassell,minnesota timberwolves san antonio spurs,Devin Vassell,1630170,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),10+,PTS,over,10,9.5,1.35,13.6146,4.8341,0.802661,0.740741,0.061921,0.083593,8.36,ddb385eb40b6658aac2bceecfc4377d744b15321,ddb385eb40b6658aac2bceecfc4377d744b15321|13.6146|4.8341,5,5,10,10,1.000000,1.000000,5/5 | 10/10,HR_5_5
2026-05-15T19:14:00+00:00,20260515_154850,betano,Cleveland Cavaliers Detroit Pistons,Cade Cunningham,cade cunningham,cleveland cavaliers detroit pistons,Cade Cunningham,1630595,DET,Cleveland Cavaliers @ Detroit Pistons,cleveland cavaliers detroit pistons,1,1,Triples (hitos),2+,3PM,over,2,1.5,1.37,2.22501,0.9642,0.773952,0.729927,0.044025,0.060315,6.03,3709aef3a6d5a1b732bc4a5e6ee4690660a26a6e,3709aef3a6d5a1b732bc4a5e6ee4690660a26a6e|2.2250|0.9642,5,5,10,10,1.000000,1.000000,5/5 | 10/10,HR_5_5
2026-05-15T19:14:00+00:00,20260515_154850,betano,Minnesota Timberwolves San Antonio Spurs,Naz Reid,naz reid,minnesota timberwolves san antonio spurs,Naz Reid,1629675,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),11+,PTS,over,11,10.5,1.4,13.6819,4.8341,0.744801,0.714286,0.030515,0.042721,4.27,e03a81dfb3b301d082bfa13a36e42869b351bf03,e03a81dfb3b301d082bfa13a36e42869b351bf03|13.6819|4.8341,5,5,9,10,1.000000,0.900000,5/5 | 9/10,HR_5_5
2026-05-15T19:14:00+00:00,20260515_154850,betano,Minnesota Timberwolves San Antonio Spurs,Devin Vassell,devin vassell,minnesota timberwolves san antonio spurs,Devin Vassell,1630170,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,PRA (hitos),17+,PRA,over,17,16.5,1.44,20.0669,6.1893,0.717797,0.694444,0.023352,0.033627,3.36,d678e2c3bfc0261bd39d8b2b287d30fb30fd87d6,d678e2c3bfc0261bd39d8b2b287d30fb30fd87d6|20.0669|6.1893,5,5,9,10,1.000000,0.900000,5/5 | 9/10,HR_5_5
2026-05-15T19:14:00+00:00,20260515_154850,betano,Cleveland Cavaliers Detroit Pistons,Dennis Schroder,dennis schroder,cleveland cavaliers detroit pistons,Dennis Schröder,203471,CLE,Cleveland Cavaliers @ Detroit Pistons,cleveland cavaliers detroit pistons,1,1,PRA (hitos),9+,PRA,over,9,8.5,1.33,15.4963,6.1893,0.870844,0.751880,0.118965,0.158223,15.82,da4abb01dd7eac7a89eb7d09fdd46a8a6da6d156,da4abb01dd7eac7a89eb7d09fdd46a8a6da6d156|15.4963|6.1893,5,5,7,10,1.000000,0.700000,5/5 | 7/10,EV
2026-05-15T19:14:00+00:00,20260515_154850,betano,Minnesota Timberwolves San Antonio Spurs,Julian Champagnie,julian champagnie,minnesota timberwolves san antonio spurs,Julian Champagnie,1630577,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Triples (hitos),2+,3PM,over,2,1.5,1.5,2.24069,0.9642,0.778812,0.666667,0.112145,0.168218,16.82,b3049094ca2004e0bb38307cdbc797402999fda4,b3049094ca2004e0bb38307cdbc797402999fda4|2.2407|0.9642,4,5,9,10,0.800000,0.900000,4/5 | 9/10,EV
2026-05-15T19:14:00+00:00,20260515_154850,betano,Cleveland Cavaliers Detroit Pistons,Dean Wade,dean wade,cleveland cavaliers detroit pistons,Dean Wade,1629731,CLE,Cleveland Cavaliers @ Detroit Pistons,cleveland cavaliers detroit pistons,1,1,RA (hitos),4+,RA,over,4,3.5,1.47,5.4754,2.6976,0.768001,0.680272,0.087729,0.128962,12.90,cc5f99aa7f3a6b9ef9dc83ab091c35ed9b269afb,cc5f99aa7f3a6b9ef9dc83ab091c35ed9b269afb|5.4754|2.6976,4,5,9,10,0.800000,0.900000,4/5 | 9/10,EV
2026-05-15T19:14:00+00:00,20260515_154850,betano,Minnesota Timberwolves San Antonio Spurs,De'Aaron Fox,de aaron fox,minnesota timberwolves san antonio spurs,De'Aaron Fox,1628368,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),16+,PTS,over,16,15.5,1.52,18.6091,4.8341,0.739943,0.657895,0.082048,0.124714,12.47,e599e803990145952aad7bd58699622d9d694bc2,e599e803990145952aad7bd58699622d9d694bc2|18.6091|4.8341,4,5,9,10,0.800000,0.900000,4/5 | 9/10,EV
2026-05-15T19:14:00+00:00,20260515_154850,betano,Cleveland Cavaliers Detroit Pistons,Dean Wade,dean wade,cleveland cavaliers detroit pistons,Dean Wade,1629731,CLE,Cleveland Cavaliers @ Detroit Pistons,cleveland cavaliers detroit pistons,1,1,Rebotes (hitos),3+,REB,over,3,2.5,1.34,4.22016,1.9667,0.809116,0.746269,0.062847,0.084215,8.42,7eaa481fda7c03c4a385eead9f5d6440befcc1d2,7eaa481fda7c03c4a385eead9f5d6440befcc1d2|4.2202|1.9667,4,5,9,10,0.800000,0.900000,4/5 | 9/10,HR_4_5_CONF
2026-05-15T19:14:00+00:00,20260515_154850,betano,Minnesota Timberwolves San Antonio Spurs,Stephon Castle,stephon castle,minnesota timberwolves san antonio spurs,Stephon Castle,1642264,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),15+,PTS,over,15,14.5,1.47,17.2595,4.8341,0.715944,0.680272,0.035671,0.052437,5.24,693319252e99b68ee41dfa5899fce91cd527a01a,693319252e99b68ee41dfa5899fce91cd527a01a|17.2595|4.8341,4,5,9,10,0.800000,0.900000,4/5 | 9/10,HR_4_5_CONF
2026-05-15T19:14:00+00:00,20260515_154850,betano,Cleveland Cavaliers Detroit Pistons,Max Strus,max strus,cleveland cavaliers detroit pistons,Max Strus,1629622,CLE,Cleveland Cavaliers @ Detroit Pistons,cleveland cavaliers detroit pistons,1,1,Rebotes (hitos),4+,REB,over,4,3.5,1.38,4.88875,1.9667,0.759946,0.724638,0.035309,0.048726,4.87,aa929a8f679a85f19669b87e37a654b89a01695c,aa929a8f679a85f19669b87e37a654b89a01695c|4.8887|1.9667,4,5,9,10,0.800000,0.900000,4/5 | 9/10,HR_4_5_CONF
2026-05-15T19:14:00+00:00,20260515_154850,betano,Cleveland Cavaliers Detroit Pistons,Max Strus,max strus,cleveland cavaliers detroit pistons,Max Strus,1629622,CLE,Cleveland Cavaliers @ Detroit Pistons,cleveland cavaliers detroit pistons,1,1,RA (hitos),6+,RA,over,6,5.5,1.47,6.98429,2.6976,0.708918,0.680272,0.028646,0.042110,4.21,1a5368cc52464bc7d5458b6d00ec38732d58a681,1a5368cc52464bc7d5458b6d00ec38732d58a681|6.9843|2.6976,4,5,9,10,0.800000,0.900000,4/5 | 9/10,HR_4_5_CONF
2026-05-15T19:14:00+00:00,20260515_154850,betano,Minnesota Timberwolves San Antonio Spurs,Terrence Shannon Jr.,terrence shannon jr,minnesota timberwolves san antonio spurs,Terrence Shannon Jr.,1630545,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),5+,PTS,over,5,4.5,1.45,11.3056,4.8341,0.920409,0.689655,0.230754,0.334594,33.46,614ae42fd26dba26b3ed3bb42648e661e9c1e253,614ae42fd26dba26b3ed3bb42648e661e9c1e253|11.3056|4.8341,4,5,8,10,0.800000,0.800000,4/5 | 8/10,EV
2026-05-15T19:14:00+00:00,20260515_154850,betano,Cleveland Cavaliers Detroit Pistons,James Harden,james harden,cleveland cavaliers detroit pistons,James Harden,201935,CLE,Cleveland Cavaliers @ Detroit Pistons,cleveland cavaliers detroit pistons,1,1,Puntos (hitos),18+,PTS,over,18,17.5,1.5,22.4269,4.8341,0.845945,0.666667,0.179278,0.268917,26.89,36b568511255d3fefa42f1df37a33662148fa88c,36b568511255d3fefa42f1df37a33662148fa88c|22.4269|4.8341,4,5,8,10,0.800000,0.800000,4/5 | 8/10,EV
2026-05-15T19:14:00+00:00,20260515_154850,betano,Minnesota Timberwolves San Antonio Spurs,Terrence Shannon Jr.,terrence shannon jr,minnesota timberwolves san antonio spurs,Terrence Shannon Jr.,1630545,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,PRA (hitos),9+,PRA,over,9,8.5,1.39,15.6987,6.1893,0.877603,0.719424,0.158179,0.219868,21.99,c83cc49b77525dc9e94d559393ea3e6e83576537,c83cc49b77525dc9e94d559393ea3e6e83576537|15.6987|6.1893,4,5,8,10,0.800000,0.800000,4/5 | 8/10,EV
2026-05-15T19:14:00+00:00,20260515_154850,betano,Cleveland Cavaliers Detroit Pistons,James Harden,james harden,cleveland cavaliers detroit pistons,James Harden,201935,CLE,Cleveland Cavaliers @ Detroit Pistons,cleveland cavaliers detroit pistons,1,1,Puntos (hitos),17+,PTS,over,17,16.5,1.37,22.4269,4.8341,0.889912,0.729927,0.159985,0.219179,21.92,68e970c88a5877fe961971aac5417d6f2aaf8136,68e970c88a5877fe961971aac5417d6f2aaf8136|22.4269|4.8341,4,5,8,10,0.800000,0.800000,4/5 | 8/10,EV
2026-05-15T19:14:00+00:00,20260515_154850,betano,Minnesota Timberwolves San Antonio Spurs,Rudy Gobert,rudy gobert,minnesota timberwolves san antonio spurs,Rudy Gobert,203497,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,RA (hitos),9+,RA,over,9,8.5,1.27,12.3578,2.6976,0.923652,0.787402,0.136250,0.173038,17.30,d2a4363272c29e3a062507fa0b6e011db7b5f820,d2a4363272c29e3a062507fa0b6e011db7b5f820|12.3578|2.6976,4,5,8,10,0.800000,0.800000,4/5 | 8/10,EV
2026-05-15T19:14:00+00:00,20260515_154850,betano,Cleveland Cavaliers Detroit Pistons,Duncan Robinson,duncan robinson,cleveland cavaliers detroit pistons,Duncan Robinson,1629130,DET,Cleveland Cavaliers @ Detroit Pistons,cleveland cavaliers detroit pistons,1,1,Puntos (hitos),9+,PTS,over,9,8.5,1.5,12.1522,4.8341,0.775025,0.666667,0.108359,0.162538,16.25,87de729328eb8d0b5454e3107ebf4ea531dd51b2,87de729328eb8d0b5454e3107ebf4ea531dd51b2|12.1522|4.8341,4,5,8,10,0.800000,0.800000,4/5 | 8/10,EV
