captured_at,jugador,mercado,linea,over,under
2026-05-13T16:09:24,Cade Cunningham,Puntos,24.5,1.54,2.10
2026-05-13T16:09:34,Cade Cunningham,Puntos,25.5,1.66,1.91
2026-05-13T16:09:36,Cade Cunningham,Puntos,26.5,1.84,1.83
2026-05-13T16:09:38,Cade Cunningham,Puntos,27.5,1.93,1.65
2026-05-13T16:09:40,Cade Cunningham,Puntos,28.5,2.13,1.53
2026-05-13T16:09:42,Cade Cunningham,Puntos,29.5,2.24,1.47
2026-05-13T16:09:43,Cade Cunningham,Puntos,30.5,2.48,1.39
2026-05-13T16:09:44,Cade Cunningham,Puntos,31.5,2.75,1.31
2026-05-13T16:09:51,Cade Cunningham,Puntos,24.5,1.54,2.10
2026-05-13T16:09:53,Cade Cunningham,Puntos,23.5,1.47,2.24
2026-05-13T16:09:54,Cade Cunningham,Puntos,22.5,1.38,2.50
2026-05-13T16:09:56,Cade Cunningham,Puntos,21.5,1.30,2.82
