partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,8.5,Sobre,1.83,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,8.5,Debajo,1.84,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,9.5,Sobre,2.02,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,9.5,Debajo,1.59,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,6.5,Sobre,1.45,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,6.5,Debajo,2.30,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,10.5,Sobre,2.25,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,10.5,Debajo,1.47,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,5.5,Sobre,1.31,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,5.5,Debajo,2.76,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,11.5,Sobre,2.66,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Puntos,11.5,Debajo,1.33,dom_alt,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Rebotes,3.5,Sobre,2.24,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Rebotes,3.5,Debajo,1.55,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Alex Caruso,Triples,1.5,Sobre,1.96,dom,
