player_name,prop_type,matchup,line,over_price,under_price,min_L5,reb_chances_L5,reb_L5,touches_L5,passes_L5,ast_L5,usage_L5,fga_L5,pts_L5,fg3a_L5,fg3m_L5,brecha_reb,brecha_ast,pred_reb,pred_ast,pred_pts,pred_3pt,prediccion_ludo,diferencia,diferencia_abs
Paolo Banchero,AST,Orlando Magic @ Detroit Pistons,6.5,1.71,2.1,37.5000007629395,15.2,9.0,83.4,55.0,7.2,0.2852,17.8,21.4,4.0,0.8,6.199999999999999,47.8,8.282376,7.7788277,22.795479,1.3179752,7.8,1.2999999999999998,1.2999999999999998
Cade Cunningham,AST,Orlando Magic @ Detroit Pistons,5.5,2.14,1.69,35.9200004577637,10.0,6.6,95.2,61.4,8.8,0.3432,20.8,25.0,8.2,2.2,3.4000000000000004,52.599999999999994,4.712583,7.8922505,28.056616,2.368264,7.9,2.4000000000000004,2.4000000000000004
Jalen Suggs,AST,Orlando Magic @ Detroit Pistons,4.5,1.56,2.4,34.9399997711182,8.4,4.2,82.2,62.2,3.2,0.2224,15.2,15.6,10.8,3.4,4.2,59.0,4.404147,4.083865,17.504639,2.5400743,4.1,-0.40000000000000036,0.40000000000000036
Daniss Jenkins,AST,Orlando Magic @ Detroit Pistons,2.5,1.65,2.2,14.5599998474121,4.6,2.6,32.6,21.8,2.4,0.2342,6.0,4.0,2.6,0.4,1.9999999999999996,19.400000000000002,2.6818197,2.3144126,7.2438807,0.9096941,2.3,-0.20000000000000018,0.20000000000000018
Jalen Duren,AST,Orlando Magic @ Detroit Pistons,2.5,1.65,2.2,28.9399997711182,18.0,8.4,43.2,29.0,2.6,0.1908,8.6,11.8,0.0,0.0,9.6,26.4,9.996799,2.2620595,12.545311,0.052941367,2.3,-0.20000000000000018,0.20000000000000018
Desmond Bane,AST,Orlando Magic @ Detroit Pistons,1.5,2.05,1.74,32.2200000762939,8.4,4.8,47.4,28.0,1.8,0.2176,15.0,16.8,7.6,3.2,3.6000000000000005,26.2,4.5206137,2.210672,17.46323,2.8596709,2.2,0.7000000000000002,0.7000000000000002
Jamal Cain,AST,Orlando Magic @ Detroit Pistons,1.5,2.3,1.6,14.0400001525879,6.4,2.8,15.4,10.0,0.0,0.1376,3.4,4.2,1.4,0.2,3.6000000000000005,10.0,3.2148569,0.6956889,4.5685005,0.52876455,0.7,-0.8,0.8
Anthony Black,AST,Orlando Magic @ Detroit Pistons,1.5,2.35,1.57,21.8599998474121,6.2,2.4,39.6,30.0,1.2,0.149,6.4,7.0,2.4,0.6,3.8000000000000003,28.8,3.0946438,1.8676786,8.142081,0.929518,1.9,0.3999999999999999,0.3999999999999999
Cade Cunningham,PTS,Orlando Magic @ Detroit Pistons,43.5,1.95,1.8,35.9200004577637,10.0,6.6,95.2,61.4,8.8,0.3432,20.8,25.0,8.2,2.2,3.4000000000000004,52.599999999999994,4.712583,7.8922505,28.056616,2.368264,28.1,-15.399999999999999,15.399999999999999
Paolo Banchero,PTS,Orlando Magic @ Detroit Pistons,34.5,1.95,1.8,37.5000007629395,15.2,9.0,83.4,55.0,7.2,0.2852,17.8,21.4,4.0,0.8,6.199999999999999,47.8,8.282376,7.7788277,22.795479,1.3179752,22.8,-11.7,11.7
Tobias Harris,PTS,Orlando Magic @ Detroit Pistons,18.5,1.83,1.91,32.7199996948242,12.6,6.8,53.8,34.2,1.4,0.2314,15.4,20.0,5.0,1.4,5.8,32.800000000000004,6.570698,2.2001357,18.546438,1.8190789,18.5,0.0,0.0
Desmond Bane,PTS,Orlando Magic @ Detroit Pistons,18.5,1.87,1.87,32.2200000762939,8.4,4.8,47.4,28.0,1.8,0.2176,15.0,16.8,7.6,3.2,3.6000000000000005,26.2,4.5206137,2.210672,17.46323,2.8596709,17.5,-1.0,1.0
Anthony Black,PTS,Orlando Magic @ Detroit Pistons,16.5,1.95,1.8,21.8599998474121,6.2,2.4,39.6,30.0,1.2,0.149,6.4,7.0,2.4,0.6,3.8000000000000003,28.8,3.0946438,1.8676786,8.142081,0.929518,8.1,-8.4,8.4
Jalen Duren,PTS,Orlando Magic @ Detroit Pistons,13.5,1.77,2.0,28.9399997711182,18.0,8.4,43.2,29.0,2.6,0.1908,8.6,11.8,0.0,0.0,9.6,26.4,9.996799,2.2620595,12.545311,0.052941367,12.5,-1.0,1.0
Jalen Suggs,PTS,Orlando Magic @ Detroit Pistons,11.5,1.95,1.8,34.9399997711182,8.4,4.2,82.2,62.2,3.2,0.2224,15.2,15.6,10.8,3.4,4.2,59.0,4.404147,4.083865,17.504639,2.5400743,17.5,6.0,6.0
Ausar Thompson,PTS,Orlando Magic @ Detroit Pistons,9.5,1.87,1.87,28.8399997711182,11.6,7.4,37.4,25.6,2.0,0.1494,7.6,9.8,0.2,0.0,4.199999999999999,23.6,6.3865876,1.9710532,10.362602,0.09575731,10.4,0.9000000000000004,0.9000000000000004
Duncan Robinson,PTS,Orlando Magic @ Detroit Pistons,7.5,1.83,1.91,27.2799999237061,4.2,1.8,29.8,20.2,2.4,0.1386,7.6,9.0,5.8,2.2,2.4000000000000004,17.8,2.7240853,1.9679297,9.517636,2.0628395,9.5,2.0,2.0
Daniss Jenkins,PTS,Orlando Magic @ Detroit Pistons,5.5,1.69,2.14,14.5599998474121,4.6,2.6,32.6,21.8,2.4,0.2342,6.0,4.0,2.6,0.4,1.9999999999999996,19.400000000000002,2.6818197,2.3144126,7.2438807,0.9096941,7.2,1.7000000000000002,1.7000000000000002
Tristan da Silva,PTS,Orlando Magic @ Detroit Pistons,5.5,2.05,1.74,16.7599998474121,5.8,3.4,19.6,14.0,0.6,0.1212,4.2,4.8,2.2,0.6,2.4,13.4,3.2481158,0.9900243,5.5528355,0.85543305,5.6,0.09999999999999964,0.09999999999999964
Caris LeVert,PTS,Orlando Magic @ Detroit Pistons,4.5,1.95,1.8,12.2000002861023,4.6,2.0,16.8,12.2,0.8,0.1504,3.0,3.4,1.0,0.4,2.5999999999999996,11.399999999999999,2.3080163,0.95808995,4.5381055,0.48455957,4.5,0.0,0.0
Goga Bitadze,PTS,Orlando Magic @ Detroit Pistons,1.5,1.77,2.0,14.6,8.0,5.2,16.0,12.2,0.4,0.098,2.2,3.2,0.0,0.0,2.8,11.799999999999999,4.3600764,0.85257703,4.5685005,0.03130063,4.6,3.0999999999999996,3.0999999999999996
Cade Cunningham,PA,Orlando Magic @ Detroit Pistons,48.5,1.87,1.87,35.9200004577637,10.0,6.6,95.2,61.4,8.8,0.3432,20.8,25.0,8.2,2.2,3.4000000000000004,52.599999999999994,4.712583,7.8922505,28.056616,2.368264,35.9,-12.600000000000001,12.600000000000001
Paolo Banchero,PA,Orlando Magic @ Detroit Pistons,41.5,1.95,1.8,37.5000007629395,15.2,9.0,83.4,55.0,7.2,0.2852,17.8,21.4,4.0,0.8,6.199999999999999,47.8,8.282376,7.7788277,22.795479,1.3179752,30.6,-10.899999999999999,10.899999999999999
Desmond Bane,PA,Orlando Magic @ Detroit Pistons,20.5,1.95,1.8,32.2200000762939,8.4,4.8,47.4,28.0,1.8,0.2176,15.0,16.8,7.6,3.2,3.6000000000000005,26.2,4.5206137,2.210672,17.46323,2.8596709,19.7,-0.8000000000000007,0.8000000000000007
Tobias Harris,PA,Orlando Magic @ Detroit Pistons,19.5,1.8,1.95,32.7199996948242,12.6,6.8,53.8,34.2,1.4,0.2314,15.4,20.0,5.0,1.4,5.8,32.800000000000004,6.570698,2.2001357,18.546438,1.8190789,20.7,1.1999999999999993,1.1999999999999993
Anthony Black,PA,Orlando Magic @ Detroit Pistons,17.5,1.8,1.95,21.8599998474121,6.2,2.4,39.6,30.0,1.2,0.149,6.4,7.0,2.4,0.6,3.8000000000000003,28.8,3.0946438,1.8676786,8.142081,0.929518,10.0,-7.5,7.5
Jalen Duren,PA,Orlando Magic @ Detroit Pistons,16.5,1.8,1.95,28.9399997711182,18.0,8.4,43.2,29.0,2.6,0.1908,8.6,11.8,0.0,0.0,9.6,26.4,9.996799,2.2620595,12.545311,0.052941367,14.8,-1.6999999999999993,1.6999999999999993
Jalen Suggs,PA,Orlando Magic @ Detroit Pistons,16.5,1.95,1.8,34.9399997711182,8.4,4.2,82.2,62.2,3.2,0.2224,15.2,15.6,10.8,3.4,4.2,59.0,4.404147,4.083865,17.504639,2.5400743,21.6,5.100000000000001,5.100000000000001
Cade Cunningham,PR,Orlando Magic @ Detroit Pistons,49.5,1.91,1.83,35.9200004577637,10.0,6.6,95.2,61.4,8.8,0.3432,20.8,25.0,8.2,2.2,3.4000000000000004,52.599999999999994,4.712583,7.8922505,28.056616,2.368264,32.8,-16.700000000000003,16.700000000000003
Paolo Banchero,PR,Orlando Magic @ Detroit Pistons,43.5,1.87,1.87,37.5000007629395,15.2,9.0,83.4,55.0,7.2,0.2852,17.8,21.4,4.0,0.8,6.199999999999999,47.8,8.282376,7.7788277,22.795479,1.3179752,31.1,-12.399999999999999,12.399999999999999
Tobias Harris,PR,Orlando Magic @ Detroit Pistons,25.5,1.83,1.91,32.7199996948242,12.6,6.8,53.8,34.2,1.4,0.2314,15.4,20.0,5.0,1.4,5.8,32.800000000000004,6.570698,2.2001357,18.546438,1.8190789,25.1,-0.3999999999999986,0.3999999999999986
Desmond Bane,PR,Orlando Magic @ Detroit Pistons,22.5,1.87,1.87,32.2200000762939,8.4,4.8,47.4,28.0,1.8,0.2176,15.0,16.8,7.6,3.2,3.6000000000000005,26.2,4.5206137,2.210672,17.46323,2.8596709,22.0,-0.5,0.5
Jalen Duren,PR,Orlando Magic @ Detroit Pistons,22.5,1.87,1.87,28.9399997711182,18.0,8.4,43.2,29.0,2.6,0.1908,8.6,11.8,0.0,0.0,9.6,26.4,9.996799,2.2620595,12.545311,0.052941367,22.5,0.0,0.0
Ausar Thompson,PR,Orlando Magic @ Detroit Pistons,22.5,1.95,1.8,28.8399997711182,11.6,7.4,37.4,25.6,2.0,0.1494,7.6,9.8,0.2,0.0,4.199999999999999,23.6,6.3865876,1.9710532,10.362602,0.09575731,16.7,-5.800000000000001,5.800000000000001
Anthony Black,PR,Orlando Magic @ Detroit Pistons,20.5,1.95,1.8,21.8599998474121,6.2,2.4,39.6,30.0,1.2,0.149,6.4,7.0,2.4,0.6,3.8000000000000003,28.8,3.0946438,1.8676786,8.142081,0.929518,11.2,-9.3,9.3
Jalen Suggs,PR,Orlando Magic @ Detroit Pistons,14.5,2.0,1.77,34.9399997711182,8.4,4.2,82.2,62.2,3.2,0.2224,15.2,15.6,10.8,3.4,4.2,59.0,4.404147,4.083865,17.504639,2.5400743,21.9,7.399999999999999,7.399999999999999
Duncan Robinson,PR,Orlando Magic @ Detroit Pistons,10.5,2.0,1.77,27.2799999237061,4.2,1.8,29.8,20.2,2.4,0.1386,7.6,9.0,5.8,2.2,2.4000000000000004,17.8,2.7240853,1.9679297,9.517636,2.0628395,12.2,1.6999999999999993,1.6999999999999993
Cade Cunningham,PRA,Orlando Magic @ Detroit Pistons,54.5,1.83,1.91,35.9200004577637,10.0,6.6,95.2,61.4,8.8,0.3432,20.8,25.0,8.2,2.2,3.4000000000000004,52.599999999999994,4.712583,7.8922505,28.056616,2.368264,40.7,-13.799999999999997,13.799999999999997
Paolo Banchero,PRA,Orlando Magic @ Detroit Pistons,50.5,1.87,1.87,37.5000007629395,15.2,9.0,83.4,55.0,7.2,0.2852,17.8,21.4,4.0,0.8,6.199999999999999,47.8,8.282376,7.7788277,22.795479,1.3179752,38.9,-11.600000000000001,11.600000000000001
